game_id,season,week,home_team,away_team,home_score,away_score,home_win
2025_06_SEA_JAX,2025,6,JAX,SEA,12.0,20.0,0
2025_06_SF_TB,2025,6,TB,SF,30.0,19.0,1
2025_06_TEN_LV,2025,6,LV,TEN,20.0,10.0,1
2025_07_ATL_SF,2025,7,SF,ATL,20.0,10.0,1
2025_07_CAR_NYJ,2025,7,NYJ,CAR,6.0,13.0,0
2025_07_GB_ARI,2025,7,ARI,GB,23.0,27.0,0
2025_07_HOU_SEA,2025,7,SEA,HOU,27.0,19.0,1
2025_07_IND_LAC,2025,7,LAC,IND,24.0,38.0,0
2025_07_LA_JAX,2025,7,JAX,LA,7.0,35.0,0
2025_07_LV_KC,2025,7,KC,LV,31.0,0.0,1
2025_07_MIA_CLE,2025,7,CLE,MIA,31.0,6.0,1
2025_07_NE_TEN,2025,7,TEN,NE,13.0,31.0,0
2025_07_NO_CHI,2025,7,CHI,NO,26.0,14.0,1
2025_07_NYG_DEN,2025,7,DEN,NYG,33.0,32.0,1
2025_07_PHI_MIN,2025,7,MIN,PHI,22.0,28.0,0
2025_07_PIT_CIN,2025,7,CIN,PIT,33.0,31.0,1
2025_07_TB_DET,2025,7,DET,TB,24.0,9.0,1
2025_07_WAS_DAL,2025,7,DAL,WAS,44.0,22.0,1
2025_08_BUF_CAR,2025,8,CAR,BUF,9.0,40.0,0
2025_08_CHI_BAL,2025,8,BAL,CHI,30.0,16.0,1
2025_08_CLE_NE,2025,8,NE,CLE,32.0,13.0,1
2025_08_DAL_DEN,2025,8,DEN,DAL,44.0,24.0,1
2025_08_GB_PIT,2025,8,PIT,GB,25.0,35.0,0
2025_08_MIA_ATL,2025,8,ATL,MIA,10.0,34.0,0
2025_08_MIN_LAC,2025,8,LAC,MIN,37.0,10.0,1
2025_08_NYG_PHI,2025,8,PHI,NYG,38.0,20.0,1
2025_08_NYJ_CIN,2025,8,CIN,NYJ,38.0,39.0,0
2025_08_SF_HOU,2025,8,HOU,SF,26.0,15.0,1
2025_08_TB_NO,2025,8,NO,TB,3.0,23.0,0
2025_08_TEN_IND,2025,8,IND,TEN,38.0,14.0,1
2025_08_WAS_KC,2025,8,KC,WAS,28.0,7.0,1
2025_09_ARI_DAL,2025,9,DAL,ARI,17.0,27.0,0
