game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against,home_recent_form,away_recent_form,home_field_advantage
2025_04_CAR_NE,2025,4,NE,CAR,42.0,13.0,1,20.0,22.666666666666668,20.666666666666668,17.666666666666668,20.0,20.666666666666668,1
2025_04_CHI_LV,2025,4,LV,CHI,24.0,25.0,0,17.666666666666668,24.666666666666668,25.333333333333332,31.0,17.666666666666668,25.333333333333332,1
2025_04_CIN_DEN,2025,4,DEN,CIN,28.0,3.0,1,22.666666666666668,21.333333333333332,19.333333333333332,30.333333333333332,22.666666666666668,19.333333333333332,1
2025_04_CLE_DET,2025,4,DET,CLE,34.0,10.0,1,34.333333333333336,26.0,15.333333333333334,22.666666666666668,34.333333333333336,15.333333333333334,1
2025_04_GB_DAL,2025,4,DAL,GB,40.0,40.0,0,24.666666666666668,30.666666666666668,21.333333333333332,14.666666666666666,24.666666666666668,21.333333333333332,1
2025_04_IND_LA,2025,4,LA,IND,27.0,20.0,1,24.333333333333332,20.333333333333332,34.333333333333336,18.666666666666668,24.333333333333332,34.333333333333336,1
2025_04_JAX_SF,2025,4,SF,JAX,21.0,26.0,0,19.666666666666668,16.333333333333332,23.333333333333332,17.0,19.666666666666668,23.333333333333332,1
2025_04_LAC_NYG,2025,4,NYG,LAC,21.0,18.0,1,17.333333333333332,27.666666666666668,23.333333333333332,16.666666666666668,17.333333333333332,23.333333333333332,1
2025_04_MIN_PIT,2025,4,PIT,MIN,24.0,21.0,1,24.0,25.666666666666668,27.0,18.666666666666668,24.0,27.0,1
2025_04_NO_BUF,2025,4,BUF,NO,31.0,19.0,1,34.0,23.666666666666668,15.666666666666666,30.0,34.0,15.666666666666666,1
2025_04_NYJ_MIA,2025,4,MIA,NYJ,27.0,21.0,1,18.666666666666668,32.333333333333336,23.0,31.0,18.666666666666668,23.0,1
2025_04_PHI_TB,2025,4,TB,PHI,25.0,31.0,0,24.0,22.0,25.666666666666668,21.0,24.0,25.666666666666668,1
2025_04_SEA_ARI,2025,4,ARI,SEA,20.0,23.0,0,20.666666666666668,17.0,29.333333333333332,15.666666666666666,20.666666666666668,29.333333333333332,1
2025_04_TEN_HOU,2025,4,HOU,TEN,26.0,0.0,1,12.666666666666666,17.0,17.0,31.333333333333332,12.666666666666666,17.0,1
